order_date,region,regional_manager,total_sales,total_profit,total_cogs,total_units,orders,profit_margin
2020-03-09,South,Sam Abioye,782.63,223.98,558.65,11,4,0.2862
2020-03-09,West,Sasha Ellington,7.98,2.07,5.91,3,1,0.2594
2020-03-12,Central,Neelam Nilam,583.36,158.69,424.67,4,2,0.272
2020-03-12,South,Sam Abioye,1230.98,316.85,914.13,10,2,0.2574
2020-03-12,West,Sasha Ellington,294.22,52.97,241.25,24,7,0.18
2020-03-13,South,Sam Abioye,370.79,33.61,337.19,14,5,0.0906
2020-03-14,South,Sam Abioye,471.92,29.5,442.43,2,1,0.0625
2020-03-15,Central,Neelam Nilam,275.1,115.84,159.25,37,8,0.4211
2020-03-15,East,Rylee Sasa,3581.76,-990.52,4572.27,31,6,-0.2765
2020-03-15,South,Sam Abioye,103.5,42.81,60.69,14,5,0.4136
2020-03-16,South,Sam Abioye,23661.24,-1789.74,25450.96,25,7,-0.0756
2020-03-16,West,Sasha Ellington,4445.49,835.02,3610.47,23,4,0.1878
2020-03-17,South,Sam Abioye,590.77,68.63,522.13,23,7,0.1162
2020-03-19,East,Rylee Sasa,13.46,2.79,10.66,5,2,0.2073
2020-03-19,South,Sam Abioye,4096.36,1052.58,3043.78,34,9,0.257
2020-03-20,Central,Neelam Nilam,16.28,6.51,9.77,2,1,0.3999
2020-03-20,South,Sam Abioye,59.11,-45.32,104.42,9,2,-0.7667
2020-03-20,West,Sasha Ellington,388.7,-12.12,400.84,6,2,-0.0312
2020-03-21,South,Sam Abioye,9.91,3.22,6.69,3,1,0.3249
2020-03-21,West,Sasha Ellington,935.15,123.7,811.46,8,2,0.1323
2020-03-22,East,Rylee Sasa,24.9,11.7,13.2,5,1,0.4699
2020-03-22,West,Sasha Ellington,40.48,14.57,25.91,2,1,0.3599
2020-03-23,East,Rylee Sasa,366.79,65.21,301.58,7,1,0.1778
2020-03-23,West,Sasha Ellington,92.36,31.46,60.9,14,4,0.3406
2020-03-24,West,Sasha Ellington,145.13,30.77,114.37,16,5,0.212
2020-03-26,Central,Neelam Nilam,1190.84,109.5,1081.34,7,2,0.092
2020-03-26,East,Rylee Sasa,330.59,-143.25,473.84,1,1,-0.4333
2020-03-26,West,Sasha Ellington,302.38,22.68,279.7,3,1,0.075
2020-03-27,Central,Neelam Nilam,890.84,-152.72,1043.56,3,1,-0.1714
2020-03-28,Central,Neelam Nilam,844.26,198.86,645.41,21,4,0.2355
2020-03-28,East,Rylee Sasa,60.15,23.79,36.36,10,2,0.3955
2020-03-28,West,Sasha Ellington,265.91,10.1,255.8,8,3,0.038
2020-03-29,Central,Neelam Nilam,88.11,0.17,87.95,9,2,0.0019
2020-03-29,East,Rylee Sasa,0.85,-0.6,1.45,1,1,-0.7059
2020-03-29,South,Sam Abioye,1144.04,88.11,1055.92,15,4,0.077
2020-03-29,West,Sasha Ellington,726.55,267.42,459.13,4,2,0.3681
2020-03-30,East,Rylee Sasa,73.2,5.74,67.46,6,2,0.0784
2020-03-30,West,Sasha Ellington,46.69,20.35,26.33,6,2,0.4359
2020-03-31,Central,Neelam Nilam,60.21,19.82,40.39,12,2,0.3292
2020-03-31,South,Sam Abioye,1398.35,387.58,1010.77,17,4,0.2772
2020-04-01,West,Sasha Ellington,233.45,85.6,147.85,7,3,0.3667
2020-04-02,Central,Neelam Nilam,84.83,26.16,58.67,5,2,0.3084
2020-04-02,South,Sam Abioye,364.93,67.97,296.96,12,4,0.1863
2020-04-02,West,Sasha Ellington,26.08,11.32,14.77,8,2,0.434
2020-04-03,Central,Neelam Nilam,872.34,58.47,813.87,24,6,0.067
2020-04-03,East,Rylee Sasa,55.48,26.63,28.85,1,1,0.48
2020-04-03,South,Sam Abioye,4367.28,168.81,4198.47,29,6,0.0387
2020-04-04,East,Rylee Sasa,326.75,-52.33,379.1,12,4,-0.1602
2020-04-04,West,Sasha Ellington,1323.93,351.84,972.09,26,9,0.2658
2020-04-05,South,Sam Abioye,1021.17,305.06,716.11,22,5,0.2987
2020-04-06,East,Rylee Sasa,172.11,-94.66,266.77,1,1,-0.55
2020-04-06,South,Sam Abioye,1215.92,316.14,899.78,8,1,0.26
2020-04-06,West,Sasha Ellington,570.72,138.37,432.35,18,5,0.2424
2020-04-09,Central,Neelam Nilam,758.35,265.42,492.93,6,1,0.35
2020-04-09,South,Sam Abioye,737.2,129.54,607.65,15,4,0.1757
2020-04-09,West,Sasha Ellington,419.68,128.29,291.4,16,4,0.3057
2020-04-10,Central,Neelam Nilam,32.4,15.55,16.85,5,1,0.4799
2020-04-10,West,Sasha Ellington,1879.73,137.11,1742.62,30,5,0.0729
2020-04-11,East,Rylee Sasa,638.58,-384.8,1023.38,42,5,-0.6026
2020-04-13,West,Sasha Ellington,294.72,108.0,186.72,6,2,0.3664
2020-04-14,South,Sam Abioye,39.07,9.77,29.3,6,1,0.2501
2020-04-16,Central,Neelam Nilam,697.08,61.8,635.29,11,4,0.0887
2020-04-16,West,Sasha Ellington,323.46,108.14,215.32,15,4,0.3343
2020-04-17,South,Sam Abioye,129.33,60.91,68.42,14,2,0.471
2020-04-17,West,Sasha Ellington,76.14,26.65,49.49,3,1,0.35
2020-04-18,Central,Neelam Nilam,1190.53,-222.01,1412.55,12,3,-0.1865
2020-04-18,West,Sasha Ellington,59.92,27.56,32.36,4,1,0.4599
2020-04-19,South,Sam Abioye,828.84,0.0,828.84,6,1,0.0
2020-04-19,West,Sasha Ellington,16.52,5.58,10.94,5,1,0.3378
2020-04-20,East,Rylee Sasa,257.75,124.79,132.97,11,2,0.4842
2020-04-21,East,Rylee Sasa,595.07,-23.29,618.36,19,5,-0.0391
2020-04-21,West,Sasha Ellington,48.91,22.99,25.92,1,1,0.47
2020-04-23,Central,Neelam Nilam,16.61,4.18,12.43,5,2,0.2517
2020-04-23,South,Sam Abioye,302.38,37.8,264.58,3,1,0.125
2020-04-23,West,Sasha Ellington,2061.01,290.89,1770.12,13,3,0.1411
2020-04-24,West,Sasha Ellington,282.57,40.76,241.81,16,4,0.1442
2020-04-26,East,Rylee Sasa,898.52,166.18,732.34,24,8,0.1849
2020-04-26,West,Sasha Ellington,1679.96,126.0,1553.96,5,1,0.075
2020-04-27,East,Rylee Sasa,37.44,11.13,26.31,4,2,0.2973
2020-04-27,South,Sam Abioye,731.4,90.55,640.86,12,4,0.1238
2020-04-28,South,Sam Abioye,1048.74,276.5,772.24,13,3,0.2636
2020-04-30,East,Rylee Sasa,26.14,1.96,24.18,3,1,0.075
2020-04-30,South,Sam Abioye,479.98,90.0,389.99,2,1,0.1875
2020-05-01,Central,Neelam Nilam,21.56,10.35,11.21,7,1,0.4801
2020-05-01,East,Rylee Sasa,51.08,18.51,32.56,6,2,0.3624
2020-05-02,Central,Neelam Nilam,90.11,25.75,64.37,12,3,0.2858
2020-05-02,East,Rylee Sasa,27.46,9.89,17.57,2,1,0.3602
2020-05-02,West,Sasha Ellington,69.86,22.93,46.93,11,2,0.3282
2020-05-03,Central,Neelam Nilam,173.12,-5.17,178.29,5,2,-0.0299
2020-05-03,South,Sam Abioye,87.86,39.69,48.17,10,5,0.4517
2020-05-04,West,Sasha Ellington,254.46,85.72,168.74,16,3,0.3369
2020-05-05,East,Rylee Sasa,1091.35,215.82,875.53,12,4,0.1978
2020-05-06,East,Rylee Sasa,1799.97,240.0,1559.97,5,1,0.1333
2020-05-07,South,Sam Abioye,158.71,50.8,107.92,18,4,0.3201
2020-05-07,West,Sasha Ellington,235.77,44.38,191.39,7,2,0.1882
2020-05-08,East,Rylee Sasa,372.29,-211.68,583.96,12,2,-0.5686
2020-05-08,West,Sasha Ellington,1971.51,269.5,1702.02,22,6,0.1367
2020-05-09,Central,Neelam Nilam,1606.88,-299.3,1906.19,29,7,-0.1863
2020-05-09,East,Rylee Sasa,35.91,9.7,26.21,3,1,0.2701
2020-05-10,Central,Neelam Nilam,34.79,10.78,24.01,7,1,0.3099
2020-05-10,East,Rylee Sasa,700.06,-130.01,830.07,3,1,-0.1857
2020-05-11,South,Sam Abioye,405.45,-329.56,735.02,10,2,-0.8128
2020-05-11,West,Sasha Ellington,492.93,87.28,405.65,13,4,0.1771
2020-05-12,South,Sam Abioye,310.88,23.32,287.56,2,1,0.075
2020-05-14,West,Sasha Ellington,289.28,20.85,268.43,8,2,0.0721
2020-05-15,Central,Neelam Nilam,91.68,45.84,45.84,3,1,0.5
2020-05-16,Central,Neelam Nilam,3.98,1.44,2.54,1,1,0.3618
2020-05-16,East,Rylee Sasa,944.97,-159.45,1104.41,9,3,-0.1687
2020-05-17,Central,Neelam Nilam,57.42,26.41,31.01,9,1,0.4599
2020-05-17,South,Sam Abioye,34.2,9.23,24.97,5,1,0.2699
2020-05-18,Central,Neelam Nilam,108.44,-19.34,127.78,12,4,-0.1783
2020-05-18,East,Rylee Sasa,211.66,81.4,130.26,20,3,0.3846
2020-05-19,Central,Neelam Nilam,186.9,-37.61,224.51,12,4,-0.2012
2020-05-19,East,Rylee Sasa,711.68,297.09,414.59,16,3,0.4174
2020-05-19,South,Sam Abioye,3333.9,1449.52,1884.38,10,2,0.4348
2020-05-19,West,Sasha Ellington,31.84,10.51,21.33,8,1,0.3301
2020-05-20,South,Sam Abioye,180.93,46.59,134.35,3,2,0.2575
2020-05-21,East,Rylee Sasa,310.8,51.82,258.98,21,6,0.1667
2020-05-21,West,Sasha Ellington,12.96,6.22,6.74,2,1,0.4799
2020-05-22,East,Rylee Sasa,116.28,56.98,59.3,3,1,0.49
2020-05-23,Central,Neelam Nilam,104.92,-190.51,295.43,4,2,-1.8158
2020-05-23,East,Rylee Sasa,14.62,6.73,7.89,2,1,0.4603
2020-05-24,Central,Neelam Nilam,475.78,5.74,470.05,8,3,0.0121
2020-05-24,West,Sasha Ellington,849.93,124.77,725.17,13,5,0.1468
2020-05-25,Central,Neelam Nilam,17.46,-30.56,48.02,6,1,-1.7503
2020-05-25,West,Sasha Ellington,2139.93,142.1,1997.83,27,4,0.0664
2020-05-26,West,Sasha Ellington,221.97,59.31,162.66,14,3,0.2672
2020-05-28,Central,Neelam Nilam,1075.44,-49.84,1125.27,6,2,-0.0463
2020-05-28,East,Rylee Sasa,835.86,265.74,570.12,18,5,0.3179
2020-05-28,South,Sam Abioye,13.62,6.13,7.49,3,1,0.4501
2020-05-29,South,Sam Abioye,773.7,230.97,542.73,6,2,0.2985
2020-05-30,Central,Neelam Nilam,3949.71,1233.56,2716.15,33,7,0.3123
2020-05-30,East,Rylee Sasa,334.68,104.79,229.89,9,2,0.3131
2020-05-30,South,Sam Abioye,904.13,238.4,665.73,13,2,0.2637
2020-05-31,South,Sam Abioye,605.47,176.92,428.55,7,3,0.2922
2020-05-31,West,Sasha Ellington,133.13,41.44,91.69,9,2,0.3113
2020-06-01,Central,Neelam Nilam,225.46,-17.38,242.84,16,4,-0.0771
2020-06-01,West,Sasha Ellington,515.88,113.49,402.39,6,1,0.22
2020-06-02,East,Rylee Sasa,456.27,-6.49,462.75,12,5,-0.0142
2020-06-04,Central,Neelam Nilam,138.81,0.44,138.37,15,3,0.0032
2020-06-04,East,Rylee Sasa,1171.8,-287.25,1459.05,16,4,-0.2451
2020-06-04,South,Sam Abioye,63.39,21.57,41.82,3,2,0.3403
2020-06-05,Central,Neelam Nilam,281.4,-230.33,511.72,6,2,-0.8185
2020-06-06,East,Rylee Sasa,1745.36,109.52,1635.84,8,2,0.0627
2020-06-06,South,Sam Abioye,170.35,10.65,159.71,3,1,0.0625
2020-06-06,West,Sasha Ellington,585.55,73.19,512.36,3,1,0.125
2020-06-07,Central,Neelam Nilam,142.34,17.16,125.19,5,3,0.1206
2020-06-07,South,Sam Abioye,1441.3,245.02,1196.28,7,1,0.17
2020-06-07,West,Sasha Ellington,3879.35,366.87,3512.5,54,12,0.0946
2020-06-08,Central,Neelam Nilam,491.55,240.86,250.69,5,1,0.49
2020-06-11,West,Sasha Ellington,14.52,4.79,9.73,3,1,0.3299
2020-06-12,Central,Neelam Nilam,212.94,57.49,155.45,3,1,0.27
2020-06-13,Central,Neelam Nilam,942.97,-78.25,1021.21,11,4,-0.083
2020-06-14,Central,Neelam Nilam,647.84,32.39,615.45,8,1,0.05
2020-06-14,East,Rylee Sasa,115.95,44.3,71.65,12,3,0.3821
2020-06-15,Central,Neelam Nilam,62.02,22.48,39.54,2,1,0.3625
2020-06-15,East,Rylee Sasa,65.97,31.01,34.96,3,1,0.4701
2020-06-15,West,Sasha Ellington,3290.52,1073.14,2217.37,11,3,0.3261
2020-06-16,West,Sasha Ellington,139.8,12.23,127.57,5,1,0.0875
2020-06-18,Central,Neelam Nilam,1828.95,-62.95,1891.91,32,9,-0.0344
2020-06-19,East,Rylee Sasa,3645.53,775.42,2870.12,42,13,0.2127
2020-06-19,South,Sam Abioye,425.67,98.93,326.74,5,3,0.2324
2020-06-19,West,Sasha Ellington,36.25,-24.91,61.16,9,2,-0.6872
2020-06-20,Central,Neelam Nilam,663.75,9.72,654.03,6,2,0.0146
2020-06-20,East,Rylee Sasa,1106.77,-20.04,1126.81,11,3,-0.0181
2020-06-20,West,Sasha Ellington,204.98,50.54,154.45,9,2,0.2466
2020-06-21,East,Rylee Sasa,86.38,1.08,85.3,3,1,0.0125
2020-06-21,South,Sam Abioye,23.12,2.1,21.01,10,2,0.0908
2020-06-22,West,Sasha Ellington,4.27,0.96,3.31,2,1,0.2248
2020-06-23,West,Sasha Ellington,792.76,49.73,743.03,22,4,0.0627
2020-06-25,South,Sam Abioye,616.14,76.1,540.04,10,3,0.1235
2020-06-26,Central,Neelam Nilam,6.08,3.04,3.04,1,1,0.5
2020-06-26,East,Rylee Sasa,1639.72,106.72,1533.0,23,5,0.0651
2020-06-27,East,Rylee Sasa,46.68,8.56,38.12,10,2,0.1834
2020-06-28,Central,Neelam Nilam,52.48,17.9,34.58,15,3,0.3411
2020-06-28,East,Rylee Sasa,344.06,112.54,231.52,11,3,0.3271
2020-06-28,South,Sam Abioye,310.69,108.74,201.95,7,1,0.35
2020-06-28,West,Sasha Ellington,32.4,10.37,22.03,5,1,0.3201
2020-06-29,South,Sam Abioye,581.1,68.36,512.74,8,2,0.1176
2020-06-29,West,Sasha Ellington,19.92,6.97,12.95,5,1,0.3499
2020-06-30,East,Rylee Sasa,79.56,22.15,57.41,3,2,0.2784
2020-07-02,South,Sam Abioye,37.44,18.56,18.88,8,2,0.4957
2020-07-02,West,Sasha Ellington,209.97,65.38,144.59,6,2,0.3114
2020-07-03,Central,Neelam Nilam,502.2,-79.34,581.53,14,2,-0.158
2020-07-03,South,Sam Abioye,760.95,194.26,566.68,21,7,0.2553
2020-07-03,West,Sasha Ellington,180.96,67.86,113.1,6,1,0.375
2020-07-04,East,Rylee Sasa,559.99,175.0,384.99,1,1,0.3125
2020-07-04,West,Sasha Ellington,478.48,47.85,430.63,2,1,0.1
2020-07-05,East,Rylee Sasa,241.2,-34.66,275.85,4,2,-0.1437
2020-07-06,East,Rylee Sasa,63.88,10.65,53.24,1,1,0.1667
2020-07-06,West,Sasha Ellington,699.19,-19.09,718.28,9,2,-0.0273
2020-07-07,Central,Neelam Nilam,24.72,8.12,16.61,5,2,0.3285
2020-07-07,West,Sasha Ellington,240.79,49.09,191.71,25,7,0.2039
2020-07-09,Central,Neelam Nilam,586.34,46.83,539.51,6,2,0.0799
2020-07-09,East,Rylee Sasa,1600.87,490.92,1109.96,37,7,0.3067
2020-07-10,Central,Neelam Nilam,613.87,11.72,602.15,28,6,0.0191
2020-07-10,West,Sasha Ellington,1346.15,76.74,1269.41,30,6,0.057
2020-07-11,West,Sasha Ellington,351.22,4.39,346.83,3,1,0.0125
2020-07-12,Central,Neelam Nilam,68.2,-42.56,110.77,11,2,-0.624
2020-07-12,East,Rylee Sasa,168.46,5.18,163.3,11,6,0.0307
2020-07-12,West,Sasha Ellington,55.92,6.29,49.63,5,1,0.1125
2020-07-13,Central,Neelam Nilam,9.51,3.99,5.52,6,2,0.4196
2020-07-16,East,Rylee Sasa,13.9,4.52,9.39,2,1,0.3252
2020-07-16,West,Sasha Ellington,259.14,-25.91,285.05,4,1,-0.1
2020-07-17,East,Rylee Sasa,455.23,100.99,354.24,6,4,0.2218
2020-07-17,West,Sasha Ellington,6.1,2.21,3.89,2,1,0.3623
2020-07-18,Central,Neelam Nilam,1340.97,-115.86,1456.83,10,3,-0.0864
2020-07-18,East,Rylee Sasa,53.34,-27.09,80.43,4,2,-0.5079
2020-07-18,West,Sasha Ellington,891.46,305.13,586.34,30,10,0.3423
2020-07-19,Central,Neelam Nilam,787.86,-69.06,856.92,16,5,-0.0877
2020-07-19,West,Sasha Ellington,1173.62,103.17,1070.44,8,3,0.0879
2020-07-20,Central,Neelam Nilam,26.63,1.33,25.3,1,1,0.0499
2020-07-20,East,Rylee Sasa,165.94,59.26,106.68,4,2,0.3571
2020-07-20,West,Sasha Ellington,1155.77,169.24,986.54,26,5,0.1464
2020-07-21,East,Rylee Sasa,99.98,8.0,91.98,2,1,0.08
2020-07-21,West,Sasha Ellington,2513.21,259.49,2253.73,41,8,0.1033
2020-07-23,West,Sasha Ellington,8341.29,384.51,7956.78,22,5,0.0461
2020-07-24,Central,Neelam Nilam,2780.27,-3820.5,6600.79,34,7,-1.3741
2020-07-24,South,Sam Abioye,256.48,104.15,152.33,18,3,0.4061
2020-07-24,West,Sasha Ellington,2003.24,145.4,1857.85,24,5,0.0726
2020-07-25,East,Rylee Sasa,65.78,32.23,33.55,11,1,0.49
2020-07-25,West,Sasha Ellington,514.28,38.08,476.2,4,2,0.074
2020-07-26,South,Sam Abioye,193.15,34.7,158.46,18,3,0.1797
2020-07-28,West,Sasha Ellington,1367.84,259.89,1107.95,8,1,0.19
2020-07-30,East,Rylee Sasa,5.68,1.92,3.76,2,1,0.338
2020-07-30,South,Sam Abioye,202.89,57.64,145.25,10,4,0.2841
2020-07-30,West,Sasha Ellington,19.75,6.91,12.84,3,1,0.3499
2020-07-31,Central,Neelam Nilam,886.28,248.03,638.25,9,3,0.2799
2020-08-01,East,Rylee Sasa,163.62,51.15,112.47,14,3,0.3126
2020-08-01,West,Sasha Ellington,314.37,-127.87,442.24,6,3,-0.4068
2020-08-02,East,Rylee Sasa,617.12,256.93,360.19,24,3,0.4163
2020-08-02,West,Sasha Ellington,2126.03,576.56,1549.48,27,6,0.2712
2020-08-03,Central,Neelam Nilam,489.23,41.93,447.3,2,1,0.0857
2020-08-03,East,Rylee Sasa,1369.33,362.67,1006.66,18,5,0.2649
2020-08-03,West,Sasha Ellington,550.16,99.5,450.67,17,6,0.1809
2020-08-04,East,Rylee Sasa,199.98,83.99,115.99,2,1,0.42
2020-08-04,South,Sam Abioye,62.91,22.65,40.26,3,1,0.36
2020-08-06,Central,Neelam Nilam,1109.73,436.1,673.64,15,5,0.393
2020-08-06,South,Sam Abioye,155.46,-7.77,163.23,4,1,-0.05
2020-08-06,West,Sasha Ellington,2690.46,700.8,1989.65,36,7,0.2605
2020-08-07,South,Sam Abioye,193.93,27.74,166.2,5,2,0.143
2020-08-07,West,Sasha Ellington,3411.75,673.15,2738.6,30,7,0.1973
2020-08-09,East,Rylee Sasa,375.34,18.77,356.57,1,1,0.05
2020-08-09,West,Sasha Ellington,76.28,26.87,49.41,4,3,0.3523
2020-08-10,East,Rylee Sasa,196.21,98.11,98.11,7,1,0.5
2020-08-10,South,Sam Abioye,744.39,177.49,566.91,43,8,0.2384
2020-08-10,West,Sasha Ellington,891.78,82.01,809.77,11,2,0.092
2020-08-13,Central,Neelam Nilam,30.96,-52.63,83.59,8,1,-1.6999
2020-08-13,East,Rylee Sasa,62.94,30.21,32.73,3,1,0.48
2020-08-13,South,Sam Abioye,243.6,46.82,196.78,10,2,0.1922
2020-08-13,West,Sasha Ellington,505.29,93.77,411.51,17,5,0.1856
2020-08-14,East,Rylee Sasa,853.09,-227.49,1080.58,6,1,-0.2667
2020-08-15,Central,Neelam Nilam,15.55,5.44,10.11,3,1,0.3498
2020-08-15,South,Sam Abioye,484.79,187.74,297.05,20,4,0.3873
2020-08-17,East,Rylee Sasa,96.68,-55.97,152.66,8,3,-0.5789
2020-08-17,South,Sam Abioye,983.73,182.83,800.9,12,2,0.1859
2020-08-17,West,Sasha Ellington,358.7,48.6,310.09,9,2,0.1355
2020-08-18,Central,Neelam Nilam,421.37,-6.02,427.39,2,1,-0.0143
2020-08-18,South,Sam Abioye,1417.35,575.92,841.43,16,3,0.4063
2020-08-20,Central,Neelam Nilam,11.56,5.66,5.9,2,1,0.4896
2020-08-20,East,Rylee Sasa,3.91,1.03,2.89,1,1,0.2634
2020-08-20,South,Sam Abioye,7.63,-1.81,9.44,3,1,-0.2372
2020-08-21,Central,Neelam Nilam,19.44,9.53,9.91,3,1,0.4902
2020-08-21,East,Rylee Sasa,71.84,34.94,36.9,8,2,0.4864
2020-08-21,West,Sasha Ellington,473.94,115.94,358.02,33,7,0.2446
2020-08-22,East,Rylee Sasa,25.95,10.81,15.15,5,2,0.4166
2020-08-22,South,Sam Abioye,25.5,6.63,18.87,3,1,0.26
2020-08-22,West,Sasha Ellington,8.29,2.69,5.59,2,1,0.3245
2020-08-23,Central,Neelam Nilam,38.06,-59.61,97.68,6,2,-1.5662
2020-08-23,East,Rylee Sasa,229.51,44.16,185.33,40,7,0.1924
2020-08-23,West,Sasha Ellington,1184.08,134.3,1049.79,21,5,0.1134
2020-08-24,East,Rylee Sasa,190.01,69.11,120.9,14,5,0.3637
2020-08-24,West,Sasha Ellington,176.8,22.98,153.82,8,1,0.13
2020-08-25,South,Sam Abioye,1825.37,487.86,1337.52,14,4,0.2673
2020-08-25,West,Sasha Ellington,244.76,25.87,218.89,9,3,0.1057
2020-08-27,South,Sam Abioye,709.05,-436.73,1145.78,9,3,-0.6159
2020-08-27,West,Sasha Ellington,123.28,60.27,63.01,4,2,0.4889
2020-08-28,East,Rylee Sasa,121.24,21.48,99.76,8,2,0.1772
2020-08-29,West,Sasha Ellington,92.52,18.5,74.02,9,1,0.2
2020-08-30,Central,Neelam Nilam,34.75,4.87,29.89,9,2,0.1401
2020-08-30,East,Rylee Sasa,380.74,65.43,315.31,5,2,0.1718
2020-08-30,West,Sasha Ellington,53.94,15.64,38.3,3,1,0.29
2020-08-31,Central,Neelam Nilam,1275.63,27.91,1247.72,13,3,0.0219
